Patient,Position,Method,Decoding TW,Accuracy
S22,p1,Kumar,0.4S,0.13245033112582782
S22,p1,Kumar,0.4S,0.1456953642384106
S22,p1,Kumar,0.4S,0.1456953642384106
S22,p1,Kumar,0.4S,0.1456953642384106
S22,p1,Kumar,0.4S,0.11258278145695365
S22,p1,Kumar,0.4S,0.16556291390728478
S22,p1,Kumar,0.4S,0.13245033112582782
S22,p1,Kumar,0.4S,0.1390728476821192
S22,p1,Kumar,0.4S,0.1390728476821192
S22,p1,Kumar,0.4S,0.152317880794702
S22,p1,Kumar,0.2S,0.12582781456953643
S22,p1,Kumar,0.2S,0.15894039735099338
S22,p1,Kumar,0.2S,0.1390728476821192
S22,p1,Kumar,0.2S,0.12582781456953643
S22,p1,Kumar,0.2S,0.152317880794702
S22,p1,Kumar,0.2S,0.1456953642384106
S22,p1,Kumar,0.2S,0.13245033112582782
S22,p1,Kumar,0.2S,0.1390728476821192
S22,p1,Kumar,0.2S,0.12582781456953643
S22,p1,Kumar,0.2S,0.1390728476821192
S22,p1,MFA,1S,0.23026315789473684
S22,p1,MFA,1S,0.19078947368421054
S22,p1,MFA,1S,0.18421052631578946
S22,p1,MFA,1S,0.21052631578947367
S22,p1,MFA,1S,0.23026315789473684
S22,p1,MFA,1S,0.20394736842105263
S22,p1,MFA,1S,0.2236842105263158
S22,p1,MFA,1S,0.23026315789473684
S22,p1,MFA,1S,0.18421052631578946
S22,p1,MFA,1S,0.21052631578947367
S22,p1,MFA,0.8S,0.18421052631578946
S22,p1,MFA,0.8S,0.20394736842105263
S22,p1,MFA,0.8S,0.2236842105263158
S22,p1,MFA,0.8S,0.1513157894736842
S22,p1,MFA,0.8S,0.18421052631578946
S22,p1,MFA,0.8S,0.20394736842105263
S22,p1,MFA,0.8S,0.19078947368421054
S22,p1,MFA,0.8S,0.20394736842105263
S22,p1,MFA,0.8S,0.23684210526315788
S22,p1,MFA,0.8S,0.18421052631578946
S22,p1,MFA,0.6S,0.19736842105263158
S22,p1,MFA,0.6S,0.20394736842105263
S22,p1,MFA,0.6S,0.19078947368421054
S22,p1,MFA,0.6S,0.23684210526315788
S22,p1,MFA,0.6S,0.20394736842105263
S22,p1,MFA,0.6S,0.21052631578947367
S22,p1,MFA,0.6S,0.19736842105263158
S22,p1,MFA,0.6S,0.2236842105263158
S22,p1,MFA,0.6S,0.19078947368421054
S22,p1,MFA,0.6S,0.19736842105263158
S22,p1,MFA,0.4S,0.125
S22,p1,MFA,0.4S,0.1513157894736842
S22,p1,MFA,0.4S,0.17105263157894737
S22,p1,MFA,0.4S,0.13157894736842105
S22,p1,MFA,0.4S,0.1118421052631579
S22,p1,MFA,0.4S,0.15789473684210525
S22,p1,MFA,0.4S,0.14473684210526316
S22,p1,MFA,0.4S,0.13815789473684212
S22,p1,MFA,0.4S,0.16447368421052633
S22,p1,MFA,0.4S,0.13157894736842105
S22,p1,MFA,0.2S,0.1513157894736842
S22,p1,MFA,0.2S,0.15789473684210525
S22,p1,MFA,0.2S,0.16447368421052633
S22,p1,MFA,0.2S,0.14473684210526316
S22,p1,MFA,0.2S,0.15789473684210525
S22,p1,MFA,0.2S,0.14473684210526316
S22,p1,MFA,0.2S,0.13157894736842105
S22,p1,MFA,0.2S,0.1513157894736842
S22,p1,MFA,0.2S,0.14473684210526316
S22,p1,MFA,0.2S,0.14473684210526316
S22,p2,Kumar,1S,0.31125827814569534
S22,p2,Kumar,1S,0.3509933774834437
S22,p2,Kumar,1S,0.2980132450331126
S22,p2,Kumar,1S,0.2980132450331126
S22,p2,Kumar,1S,0.33774834437086093
S22,p2,Kumar,1S,0.304635761589404
S22,p2,Kumar,1S,0.33774834437086093
S22,p2,Kumar,1S,0.32450331125827814
S22,p2,Kumar,1S,0.32450331125827814
S22,p2,Kumar,1S,0.31788079470198677
S22,p2,Kumar,0.8S,0.2980132450331126
S22,p2,Kumar,0.8S,0.2980132450331126
S22,p2,Kumar,0.8S,0.2781456953642384
S22,p2,Kumar,0.8S,0.2913907284768212
S22,p2,Kumar,0.8S,0.2980132450331126
S22,p2,Kumar,0.8S,0.31788079470198677
S22,p2,Kumar,0.8S,0.2847682119205298
S22,p2,Kumar,0.8S,0.304635761589404
S22,p2,Kumar,0.8S,0.304635761589404
S22,p2,Kumar,0.8S,0.304635761589404
S22,p2,Kumar,0.6S,0.271523178807947
S22,p2,Kumar,0.6S,0.24503311258278146
