Patient,Method,Score_Type,Iteration,Value
S22,Kumar,Silhoutte_Score_Phon,23,0.05874425
S22,Kumar,Silhoutte_Score_Phon,24,0.046522766
S22,Kumar,Silhoutte_Score_Phon,25,0.05361209
S22,Kumar,Silhoutte_Score_Phon,26,0.060089648
S22,Kumar,Silhoutte_Score_Phon,27,0.022337172
S22,Kumar,Silhoutte_Score_Phon,28,0.06422078
S22,Kumar,Silhoutte_Score_Phon,29,0.052766267
S22,Kumar,Silhoutte_Score_Phon,30,0.073232315
S22,Kumar,Silhoutte_Score_Phon,31,0.030361196
S22,Kumar,Silhoutte_Score_Phon,32,0.033033416
S22,Kumar,Silhoutte_Score_Phon,33,0.033717062
S22,Kumar,Silhoutte_Score_Phon,34,0.055069
S22,Kumar,Silhoutte_Score_Phon,35,0.059222862
S22,Kumar,Silhoutte_Score_Phon,36,0.042044096
S22,Kumar,Silhoutte_Score_Phon,37,0.04668666
S22,Kumar,Silhoutte_Score_Phon,38,0.06588075
S22,Kumar,Silhoutte_Score_Phon,39,0.04888365
S22,Kumar,Silhoutte_Score_Phon,40,0.060017247
S22,Kumar,Silhoutte_Score_Phon,41,0.039510116
S22,Kumar,Silhoutte_Score_Phon,42,0.083752975
S22,Kumar,Silhoutte_Score_Phon,43,0.057598986
S22,Kumar,Silhoutte_Score_Phon,44,0.049334735
S22,Kumar,Silhoutte_Score_Phon,45,0.088673934
S22,Kumar,Silhoutte_Score_Phon,46,0.048270274
S22,Kumar,Silhoutte_Score_Phon,47,0.0493264
S22,Kumar,Silhoutte_Score_Phon,48,0.046628997
S22,Kumar,Silhoutte_Score_Phon,49,0.03503972
S22,Kumar,Silhoutte_Score_Phon,50,0.040722564
S22,Kumar,Silhoutte_Score_PhonGrp,1,0.030985072
S22,Kumar,Silhoutte_Score_PhonGrp,2,0.048242606
S22,Kumar,Silhoutte_Score_PhonGrp,3,0.047432307
S22,Kumar,Silhoutte_Score_PhonGrp,4,0.051153015
S22,Kumar,Silhoutte_Score_PhonGrp,5,0.033922922
S22,Kumar,Silhoutte_Score_PhonGrp,6,0.032357946
S22,Kumar,Silhoutte_Score_PhonGrp,7,0.037769984
S22,Kumar,Silhoutte_Score_PhonGrp,8,0.03901558
S22,Kumar,Silhoutte_Score_PhonGrp,9,0.055183977
S22,Kumar,Silhoutte_Score_PhonGrp,10,0.016987685
S22,Kumar,Silhoutte_Score_PhonGrp,11,0.044452757
S22,Kumar,Silhoutte_Score_PhonGrp,12,0.04302486
S22,Kumar,Silhoutte_Score_PhonGrp,13,0.032579802
S22,Kumar,Silhoutte_Score_PhonGrp,14,0.049316835
S22,Kumar,Silhoutte_Score_PhonGrp,15,0.056770675
S22,Kumar,Silhoutte_Score_PhonGrp,16,0.043179188
S22,Kumar,Silhoutte_Score_PhonGrp,17,0.014146834
S22,Kumar,Silhoutte_Score_PhonGrp,18,0.034191336
S22,Kumar,Silhoutte_Score_PhonGrp,19,0.024737505
S22,Kumar,Silhoutte_Score_PhonGrp,20,0.048436686
S22,Kumar,Silhoutte_Score_PhonGrp,21,0.027815565
S22,Kumar,Silhoutte_Score_PhonGrp,22,0.030950436
S22,Kumar,Silhoutte_Score_PhonGrp,23,0.034536216
S22,Kumar,Silhoutte_Score_PhonGrp,24,0.029109066
S22,Kumar,Silhoutte_Score_PhonGrp,25,0.060558096
S22,Kumar,Silhoutte_Score_PhonGrp,26,0.041683085
S22,Kumar,Silhoutte_Score_PhonGrp,27,0.04880323
S22,Kumar,Silhoutte_Score_PhonGrp,28,0.04657193
S22,Kumar,Silhoutte_Score_PhonGrp,29,0.02610529
S22,Kumar,Silhoutte_Score_PhonGrp,30,0.04995528
S22,Kumar,Silhoutte_Score_PhonGrp,31,0.03326738
S22,Kumar,Silhoutte_Score_PhonGrp,32,0.007486227
S22,Kumar,Silhoutte_Score_PhonGrp,33,0.026825167
S22,Kumar,Silhoutte_Score_PhonGrp,34,0.016363382
S22,Kumar,Silhoutte_Score_PhonGrp,35,0.047265023
S22,Kumar,Silhoutte_Score_PhonGrp,36,0.013803615
S22,Kumar,Silhoutte_Score_PhonGrp,37,0.016893215
S22,Kumar,Silhoutte_Score_PhonGrp,38,0.028141344
